"Age group (years)","Capital cities (Males) (%)","Rest of Australia (Males) (%)","Capital cities (Females) (%)","Rest of Australia (Females) (%)"
"0-4","3.2","3.0","3.1","2.9"
"5-9","3.3","3.3","3.1","3.1"
"10-14","3.1","3.3","2.9","3.2"
"15-19","3.0","3.1","2.9","3.0"
"20-24","3.8","3.0","3.7","2.8"
"25-29","4.1","3.1","4.1","3.0"
"30-34","4.0","3.0","4.1","3.1"
"35-39","3.8","2.9","3.8","3.0"
"40-44","3.3","2.8","3.3","3.0"
"45-49","3.3","3.2","3.4","3.4"
"50-54","2.9","3.1","3.0","3.2"
"55-59","2.8","3.4","2.9","3.5"
"60-64","2.4","3.2","2.6","3.3"
"65-69","2.1","3.0","2.2","3.0"
"70-74","1.8","2.6","1.9","2.6"
"75-79","1.2","1.8","1.4","1.8"
"80-84","0.8","1.1","1.0","1.3"
"85+","0.7","0.9","1.2","1.4"

"Source: Australian Bureau of Statistics,  Regional population by age and sex 2019"